Liu, C. L. (1987). Elements of discrete mathematics (2nd ed.). McGraw-Hill., 1: "Lógica proposicional y cálculo de predicados". 2: "Conjuntos relaciones y pruebas matemáticas". 3: "Sistemas algebraicos". 4: "Teoría de gráficas". 5: "Teoría de la computabilidad"
Grassmann, W. K., & Tremblay, J.-P. (1996). Logic and discrete mathematics : a computer science perspective. SunSoft., 1: "Lógica proposicional y cálculo de predicados". 2: "Conjuntos relaciones y pruebas matemáticas". 3: "Sistemas algebraicos". 4: "Teoría de gráficas". 5: "Teoría de la computabilidad"
Berman, K. A., & Paul, J. L. (2005). Algorithms : sequential parallel and distributed. Thomson., 4: "Teoría de gráficas". 5: "Teoría de la computabilidad"
Johnsonbaugh, R. (2018). Discrete mathematics (Eighth edition). Pearson., 1: "Lógica proposicional y cálculo de predicados". 2: "Conjuntos relaciones y pruebas matemáticas". 3: "Sistemas algebraicos". 4: "Teoría de gráficas". 5: "Teoría de la computabilidad"
Ross, K. A., & Wright, C. R. B. (1998). Discrete mathematics (2nd ed.). Prentice Hall., 1: “Lógica proposicional y cálculo de predicados”. 2: “Conjunto relaciones y pruebas matemáticas”. 3: “Sistemas algebraicos”
